src/lib/iqra/04-quran/topological_curiosity.ts(114,30): error TS2304: Cannot find name 'CodebaseTopologyMapper'.
src/lib/iqra/05-rewards/engine.ts(155,24): error TS2322: Type 'Promise<string>' is not assignable to type 'string'.
src/lib/iqra/06-security/audit/muraqabah_agent.ts(42,34): error TS2339: Property 'run' does not exist on type 'LlmAgent'.
src/lib/iqra/06-security/audit/symbolic_auditor.ts(66,19): error TS2339: Property 'toLowerCase' does not exist on type 'ConnectorResponse'.
src/lib/iqra/09-evolution/league_manager.ts(78,30): error TS2339: Property 'match' does not exist on type 'ConnectorResponse'.
src/lib/iqra/09-evolution/learning/closed_loop.ts(301,31): error TS2304: Cannot find name 'DoctrinalGuard'.
src/lib/iqra/09-evolution/run_evolution.ts(42,51): error TS18046: 'e' is of type 'unknown'.
src/lib/iqra/09-evolution/search_369.ts(14,26): error TS2307: Cannot find module '#skills/git_skill' or its corresponding type declarations.
src/lib/iqra/09-evolution/self_evolve.ts(7,26): error TS2307: Cannot find module '#skills/git_skill' or its corresponding type declarations.
src/lib/iqra/09-evolution/tawbah_loop.ts(14,26): error TS2307: Cannot find module '#skills/git_skill' or its corresponding type declarations.
src/lib/iqra/09-evolution/tawbah_loop.ts(15,31): error TS2307: Cannot find module '#skills/inverse_design' or its corresponding type declarations.
src/lib/iqra/11-trading/self_play_loop.ts(67,9): error TS2345: Argument of type '"MARKET_EXECUTION"' is not assignable to parameter of type '"Annihilation" | "Commutation" | "Other" | undefined'.
src/lib/iqra/12-infrastructure/heartbeat.ts(401,59): error TS2307: Cannot find module '../quran/topological_curiosity.js' or its corresponding type declarations.
src/lib/iqra/12-infrastructure/r2_storage.ts(9,16): error TS2304: Cannot find name 'R2Bucket'.
src/lib/iqra/12-infrastructure/tools_registry.ts(175,17): error TS2339: Property 'QuranLoader' does not exist on type 'typeof import("/Applications/iqra/src/lib/iqra/04-quran/quran_loader")'.
src/lib/iqra/12-infrastructure/tools_registry.ts(202,53): error TS2307: Cannot find module '../quran/numerical_validator.js' or its corresponding type declarations.
src/lib/iqra/12-infrastructure/tools_registry.ts(241,48): error TS2307: Cannot find module '../quran/pattern_hunter.js' or its corresponding type declarations.
